BLANK are historical data used in machine learning to predict a label.,features,"Definition,AI900"
"A model should make predictions ... without incorporating any bias based on gender, ethnicity, or other factors that might result in an unfair advantage or disadvantage to specific groups of applicants.",fairness in an AI solution,"AI900,Definition"
A loan-approval model discriminates by gender due to bias in the data with which it was trained is a failure of BLANK in an AI solution,fairness in an AI solution,AI900
AI-based software application development must be subjected to rigorous testing and deployment management processes to ensure that they work as expected before release.,reliability and safety in an AI solution,"AI900,Definition"
An autonomous vehicle experiences a system failure and causes a collision is a failure of BLANK in an AI solution,reliability and safety in an AI solution,AI900
"The machine learning models on which AI systems are based rely on large volumes of data, which may contain personal details that must be kept private. Even after the models are trained and the system is in production, it uses new data to make predictions or take action that may be subject to privacy or security concerns.",privacy and security in an AI solution,"AI900,Definition"
"A medical diagnostic bot is trained using sensitive patient data, which is stored insecurely is a failure of BLANK in an AI solution",privacy and security in an AI solution,AI900
"AI systems should empower everyone and engage people. AI should bring benefits to all parts of society, regardless of physical ability, gender, sexual orientation, ethnicity, or other factors.",inclusiveness in an AI solution,"AI900,Definition"
A home automation assistant provides no audio output for visually impaired users is a failure of BLANK in an AI solution,inclusiveness in an AI solution,AI900
"AI systems should be understandable. Users should be made fully aware of the purpose of the system, how it works, and what limitations may be expected.",transparency in an AI solution,"AI900,Definition"
An AI-based financial tool makes investment recommendations - what are they based on? is failure of BLANK in an AI solution,transparency in an AI solution,AI900
Designers and developers of AI-based solution should work within a framework of governance and organizational principles that ensure the solution meets ethical and legal standards that are clearly defined.,accountability in an AI solution,"AI900,Definition"
Imagine you're creating a software system to monitor credit card transactions and detect unusual usage patterns that might indicate fraud. Or an application that tracks activity in an automated production line and identifies failures. Or a racing car telemetry system that uses sensors to proactively warn engineers about potential mechanical failures before they happen. These kinds of scenario can be addressed by using BLANK - a machine learning based technique that analyzes data over time and identifies unusual changes.,Anomaly Detection,"AI900,UseCase"
An AI service that analyses content in images and video,Computer Vision,"Definition,AI900"
Uses of BLANK include: Content Organization: Identify people or objects in photos and organize them based on that identification. Photo recognition applications like this are commonly used in photo storage and social media applications.,Computer Vision,"AI900,UseCase"
Uses of BLANK include: Text Extraction: Analyze images and PDF documents that contain text and extract the text into a structured format.,Computer Vision,"AI900,UseCase"
"Uses of BLANK include: Spatial Analysis: Identify people or objects, such as cars, in a space and map their movement within that space.",Computer Vision,"AI900,UseCase"
"BLANK service includes services such as: Optical Character Recognition (OCR), Image Analysis and Spatial Analysis.",Computer Vision,AI900
BLANK is the area of AI that deals with creating software that understands written and spoken language.,Natural Language Processing,AI900
AI principle requiring rigorous testing of an AI-based app to eliminate potential risk to human life.,Reliability and Safety in an AI,"AI900,Definition"
Responsible AI principle requiring respecting privacy and being secure.,Privacy and Security in an AI,"AI900,Definition"
"Principle that dictates that AI-based solutions should empower everyone. AI should provide benefits to all parts of the society, regardless of gender, physical ability, ethnicity, sexual orientation, or any other factors.",Inclusiveness in an AI,"AI900,Definition"
"Principle that dictates that AI-based solutions should be understandable. Users should be aware of the purpose of the AI-based system, how it operates, its scope and limitations.",Transparency in an AI,"AI900,Definition"
Responsible AI principle requiring that the people involved in designing and developing AI-based system operate within governance framework and follow defined ethical policies and legal standards.,Accountability in an AI,"AI900,Definition"
"BLANK is a form of machine learning that is used to predict a numeric label based on an item's features. For example, an automobile sales company might use the characteristics of a car (such as engine size, number of seats, mileage, and so on) to predict its likely selling price. In this case, the characteristics of the car are the features, and the selling price is the label.",Regression,"AI900,UseCase"
"BLANK is an example of a __supervised__ machine learning technique in which you train a model using data that includes both the features and known values for the label, so that the model learns to __fit__ the feature combinations to the label. Then, after training has been completed, you can use the trained model to predict labels for new items for which the label is unknown.",Regression,"AI900,UseCase"
(A form of) Supervised machine learning technique used to predict categories.,Classification,"AI900,Definition"
"BLANK is a form of machine learning that is used to predict which category, or BLANK, an item belongs to. For example, a health clinic might use the characteristics of a patient (such as age, weight, blood pressure, and so on) to predict whether the patient is at risk of diabetes. In this case, the characteristics of the patient are the features, and the label is a classification of either 0 or 1, representing non-diabetic or diabetic.",Classification,"UseCase,AI900"
BLANK is an area of AI that deals with visual processing.,computer vision,AI900
"You can use this service to analyze images and video, and extract descriptions, tags, objects, and text.",Computer Vision Service,"AI900,UseCase"
The BLANK service enables you to build face detection and facial recognition solutions.,Face Service,AI900
Use this service to extract information from scanned forms and invoices.,Form Recognizer Service,"AI900,UseCase"
"BLANK analyzes your forms and documents, extracts text and data, maps field relationships as key-value pairs, and returns a structured JSON output.",Form Recognizer Service,AI900
"The BLANK service include models such as Read model, Layout model and General document model as well as prebuilt invoice, receipt, ID and business card models and the option for custom models.",Form Recognizer Service,AI900
Use this service to train custom image classification and object detection models using your own images.,Custom Vision Service,"AI900,UseCase"
"Use this service to access features for understanding and analyzing text, training language models that can understand spoken or text-based commands, and building intelligent applications.",Language Service,"AI900,UseCase"
Use this service to translate text between more than 60 languages.,Translator Service,"AI900,UseCase"
"Use this service to recognize and synthesize speech, and to translate spoken languages.",Speech Service,"AI900,UseCase"
"This service provides a platform for conversational AI, the capability of a software agent to participate in a conversation. Developers can use the __Bot Framework__ to create a bot and manage it with BLANK - integrating back-end services like Language, and connecting to channels for web chat, email, Microsoft Teams, and others.",Azure Bot Service,AI900
"Provides AI algorithms that detect, recognize, and analyze human faces in images.",Face service,"AI900,Definition"
"Uses for this service include: Security - facial recognition can be used in building security applications, and increasingly it is used in smart phones operating systems for unlocking devices.",Face service,"UseCase,AI900"
Uses for this service include: Social media - facial recognition can be used to automatically tag known friends in photographs.,Face service,"UseCase,AI900"
"Uses for this service include: Intelligent monitoring - for example, an automobile might include a system that monitors the driver's face to determine if the driver is looking at the road, looking at a mobile device, or shows signs of tiredness.",Face service,"UseCase,AI900"
Uses for this service include: Advertising - analyzing faces in an image can help direct advertisements to an appropriate demographic audience.,Face service,"UseCase,AI900"
"Uses for this service include: Missing persons - using public cameras systems, facial recognition can be used to identify if a missing person is in the image frame.",Face service,"UseCase,AI900"
Uses for this service include: Identity validation - useful at ports of entry kiosks where a person holds a special entry permit.,Face service,"UseCase,AI900"
BLANK is the term used to describe solutions that involve extracting information from large volumes of often unstructured data to create a searchable knowledge store.,Knowledge Mining,AI900
"BLANK , a private, enterprise, search solution that has tools for building indexes. The indexes can then be used for internal only use, or to enable searchable content on public facing internet assets.",Azure Cognitive Search,AI900
Type of unsupervised machine learning that groups unlabeled data using similarities in the data.,Clustering,"AI900,Definition"
The BLANK is the output we are looking to predict via machine learning. BLANK are used alongside features in historical data in order to train the model.,label,"Definition,AI900"
"Clustering is an example of BLANK, in which you train a model to separate items into clusters based purely on their characteristics, or features. There is no previously known cluster value (or label) from which to train the model.",unsupervised machine learning,"Definition,AI900"
Historical data used to train a machine learning model according to the chosen algorithm,training datasets,"AI900,Definition"
"Subset of data held back to test the trained machine learning model, to validate and evaluate results.",validation datasets,"AI900,Definition"
BLANK is a cloud service that you can use to train and manage machine learning models,Azure Machine Learning Studio,"Definition,AI900"
"Train and deploy a machine learning model on the basis of a chosen dataset, selected features and a target column about which we want to make predictions. Choose a task type from Classification, Regression or Time series forecasting before training the model using an algorithm chosen according to the most accurate statistical metrics.",Automated Machine Learning,AI900
Automatically build and deploy predictive models using the no-code UI or using the SDK using BLANK,Automated Machine Learning,AI900
"Drag-and-drop interface to speed up model building and deployment for the entire data science team, from beginners to professionals.",Azure Machine Learning designer,AI900
"Create machine learning pipelines with built in modules, selected and connected by the user to transform a dataset, train a model using one of the available algorithms before scoring and evaluating the model.",Azure Machine Learning designer,AI900
BLANK is a common workload in artificial intelligence (AI) applications. It harnesses the predictive power of machine learning to enable AI systems to identify real-world items based on images.,image classification,AI900
"Uses of BLANK include: Product identification: performing visual searches for specific products in online searches or even, in-store using a mobile device.",image classification,"AI900,UseCase"
"Uses of BLANK include: Disaster investigation: identifying key infrastructure for major disaster preparation efforts. For example, identifying bridges and roads in aerial images can help disaster relief teams plan ahead in regions that are not well mapped.",image classification,"AI900,UseCase"
"Uses of BLANK include: Medical diagnosis: evaluating images from X-ray or MRI devices could quickly classify specific issues found as cancerous tumors, or many other medical conditions related to medical imaging diagnosis.",image classification,"AI900,UseCase"
"BLANK machine learning models use a set of inputs, which we call features, to calculate a probability score for each possible class and predict a label that indicates the most likely class that an object belongs to.",image classification,AI900
"To create a BLANK model, you need data that consists of features and their labels. The existing data is a set of categorized images. Digital images are made up of an array of pixel values, and these are used as features to train the model based on the known image classes.",image classification,AI900
"BLANK is a machine learning based form of computer vision in which a model is trained to categorize images based on the primary subject matter they contain. Object detection goes further than this to classify individual objects within the image, and to return the coordinates of a bounding box that indicates the object's location.",image classification,"AI900,UseCase"
